ID,Requisito,Tipo_de_prueba,Objetivo,Precondicion,Procedimiento,Resultado_esperado,Criterio_de_aceptacion,Elemento_de_diseno,Caso_de_uso,Ejecutable_hoy,Estado
CP-RF-01,RF-01,Funcional,Comprobar que se cumple: Monitorear el estado ambiental del aula,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: SensorIoT;LecturaSensor,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre SensorIoT;LecturaSensor en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-01, definido en el ERS",CA-01,SensorIoT;LecturaSensor,CU-01;CU-03,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-02,RF-02,Funcional,Comprobar que se cumple: Controlar remotamente los dispositivos del aula,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: GatewayIoT;Equipo,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre GatewayIoT;Equipo en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-02, definido en el ERS",CA-02,GatewayIoT;Equipo,CU-02,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-03,RF-03,Funcional,Comprobar que se cumple: Detectar automaticamente la ocupacion del aula,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: SensorIoT;Aula,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre SensorIoT;Aula en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-03, definido en el ERS",CA-03,SensorIoT;Aula,CU-03,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-04,RF-04,Funcional,Comprobar que se cumple: Controlar remotamente los proyectores,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Proyector,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Proyector en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-04, definido en el ERS",CA-04,Proyector,CU-01;CU-02,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-05,RF-05,Funcional,Comprobar que se cumple: Ajustar remotamente la climatizacion,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Climatizador,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Climatizador en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-05, definido en el ERS",CA-05,Climatizador,CU-01;CU-02,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-06,RF-06,Funcional,Comprobar que se cumple: Integrar el sistema con la videovigilancia existente,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: CamaraVigilancia,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre CamaraVigilancia en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,CamaraVigilancia,CU-15,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RF-07,RF-07,Funcional,Comprobar que se cumple: Consultar un panel de control centralizado,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Aula,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Aula en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-06, definido en el ERS",CA-06,Aula,CU-01,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-08,RF-08,Funcional,Comprobar que se cumple: Generar y enviar alertas por anomalias,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Alerta,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Alerta en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-07, definido en el ERS",CA-07,Alerta,CU-04;CU-05,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-09,RF-09,Funcional,Comprobar que se cumple: Predecir fallos de equipos mediante IA,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Equipo,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Equipo en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,Equipo,CU-16,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RF-10,RF-10,Funcional,Comprobar que se cumple: Registrar el historial de fallas y mantenimientos,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: SolicitudMantenimiento,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre SolicitudMantenimiento en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-08, definido en el ERS",CA-08,SolicitudMantenimiento,CU-08,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
