juez,item_ciego,origen,dimension,puntuacion
juez1,Item-01,Humano,Completitud(1-5),4.0
juez1,Item-01,Humano,Ausencia_ambiguedad(1-5),4.0
juez1,Item-01,Humano,Verificabilidad(1-5),3.0
juez1,Item-01,Humano,Correccion_fuente(1-5),4.0
juez1,Item-01,Humano,Consistencia_interna(1-5),5.0
juez1,Item-02,Humano,Completitud(1-5),5.0
juez1,Item-02,Humano,Ausencia_ambiguedad(1-5),4.0
juez1,Item-02,Humano,Verificabilidad(1-5),4.0
juez1,Item-02,Humano,Correccion_fuente(1-5),5.0
juez1,Item-02,Humano,Consistencia_interna(1-5),4.0
juez1,Item-03,Humano,Completitud(1-5),3.0
juez1,Item-03,Humano,Ausencia_ambiguedad(1-5),2.0
juez1,Item-03,Humano,Verificabilidad(1-5),3.0
juez1,Item-03,Humano,Correccion_fuente(1-5),4.0
juez1,Item-03,Humano,Consistencia_interna(1-5),3.0
juez1,Item-04,LLM,Completitud(1-5),4.0
juez1,Item-04,LLM,Ausencia_ambiguedad(1-5),4.0
juez1,Item-04,LLM,Verificabilidad(1-5),4.0
juez1,Item-04,LLM,Correccion_fuente(1-5),4.0
juez1,Item-04,LLM,Consistencia_interna(1-5),5.0
juez1,Item-05,LLM,Completitud(1-5),4.0
juez1,Item-05,LLM,Ausencia_ambiguedad(1-5),3.0
juez1,Item-05,LLM,Verificabilidad(1-5),2.0
juez1,Item-05,LLM,Correccion_fuente(1-5),4.0
juez1,Item-05,LLM,Consistencia_interna(1-5),4.0
juez1,Item-06,Humano,Completitud(1-5),3.0
juez1,Item-06,Humano,Ausencia_ambiguedad(1-5),4.0
juez1,Item-06,Humano,Verificabilidad(1-5),5.0
juez1,Item-06,Humano,Correccion_fuente(1-5),5.0
juez1,Item-06,Humano,Consistencia_interna(1-5),4.0
juez1,Item-07,Humano,Completitud(1-5),5.0
juez1,Item-07,Humano,Ausencia_ambiguedad(1-5),5.0
juez1,Item-07,Humano,Verificabilidad(1-5),5.0
juez1,Item-07,Humano,Correccion_fuente(1-5),5.0
juez1,Item-07,Humano,Consistencia_interna(1-5),5.0
juez1,Item-08,Humano,Completitud(1-5),5.0
juez1,Item-08,Humano,Ausencia_ambiguedad(1-5),3.0
juez1,Item-08,Humano,Verificabilidad(1-5),3.0
juez1,Item-08,Humano,Correccion_fuente(1-5),4.0
juez1,Item-08,Humano,Consistencia_interna(1-5),5.0
juez1,Item-09,Humano,Completitud(1-5),5.0
juez1,Item-09,Humano,Ausencia_ambiguedad(1-5),4.0
juez1,Item-09,Humano,Verificabilidad(1-5),3.0
juez1,Item-09,Humano,Correccion_fuente(1-5),4.0
juez1,Item-09,Humano,Consistencia_interna(1-5),5.0
juez1,Item-10,LLM,Completitud(1-5),4.0
juez1,Item-10,LLM,Ausencia_ambiguedad(1-5),4.0
juez1,Item-10,LLM,Verificabilidad(1-5),4.0
juez1,Item-10,LLM,Correccion_fuente(1-5),5.0
juez1,Item-10,LLM,Consistencia_interna(1-5),4.0
juez1,Item-11,Humano,Completitud(1-5),4.0
juez1,Item-11,Humano,Ausencia_ambiguedad(1-5),4.0
juez1,Item-11,Humano,Verificabilidad(1-5),3.0
juez1,Item-11,Humano,Correccion_fuente(1-5),4.0
juez1,Item-11,Humano,Consistencia_interna(1-5),4.0
juez1,Item-12,Humano,Completitud(1-5),3.0
juez1,Item-12,Humano,Ausencia_ambiguedad(1-5),2.0
juez1,Item-12,Humano,Verificabilidad(1-5),3.0
juez1,Item-12,Humano,Correccion_fuente(1-5),4.0
juez1,Item-12,Humano,Consistencia_interna(1-5),3.0
juez1,Item-13,Humano,Completitud(1-5),3.0
juez1,Item-13,Humano,Ausencia_ambiguedad(1-5),4.0
juez1,Item-13,Humano,Verificabilidad(1-5),4.0
juez1,Item-13,Humano,Correccion_fuente(1-5),4.0
juez1,Item-13,Humano,Consistencia_interna(1-5),5.0
juez1,Item-14,Humano,Completitud(1-5),4.0
juez1,Item-14,Humano,Ausencia_ambiguedad(1-5),3.0
juez1,Item-14,Humano,Verificabilidad(1-5),2.0
juez1,Item-14,Humano,Correccion_fuente(1-5),4.0
juez1,Item-14,Humano,Consistencia_interna(1-5),4.0
juez1,Item-15,LLM,Completitud(1-5),3.0
juez1,Item-15,LLM,Ausencia_ambiguedad(1-5),4.0
juez1,Item-15,LLM,Verificabilidad(1-5),5.0
juez1,Item-15,LLM,Correccion_fuente(1-5),5.0
juez1,Item-15,LLM,Consistencia_interna(1-5),4.0
juez1,Item-16,LLM,Completitud(1-5),4.0
juez1,Item-16,LLM,Ausencia_ambiguedad(1-5),5.0
juez1,Item-16,LLM,Verificabilidad(1-5),3.0
juez1,Item-16,LLM,Correccion_fuente(1-5),4.0
juez1,Item-16,LLM,Consistencia_interna(1-5),5.0
juez1,Item-17,LLM,Completitud(1-5),4.0
juez1,Item-17,LLM,Ausencia_ambiguedad(1-5),3.0
juez1,Item-17,LLM,Verificabilidad(1-5),3.0
juez1,Item-17,LLM,Correccion_fuente(1-5),5.0
juez1,Item-17,LLM,Consistencia_interna(1-5),5.0
juez1,Item-18,LLM,Completitud(1-5),5.0
juez1,Item-18,LLM,Ausencia_ambiguedad(1-5),5.0
juez1,Item-18,LLM,Verificabilidad(1-5),5.0
juez1,Item-18,LLM,Correccion_fuente(1-5),5.0
juez1,Item-18,LLM,Consistencia_interna(1-5),5.0
juez1,Item-19,Humano,Completitud(1-5),5.0
juez1,Item-19,Humano,Ausencia_ambiguedad(1-5),4.0
juez1,Item-19,Humano,Verificabilidad(1-5),3.0
juez1,Item-19,Humano,Correccion_fuente(1-5),4.0
juez1,Item-19,Humano,Consistencia_interna(1-5),5.0
juez1,Item-20,LLM,Completitud(1-5),4.0
juez1,Item-20,LLM,Ausencia_ambiguedad(1-5),5.0
juez1,Item-20,LLM,Verificabilidad(1-5),5.0
juez1,Item-20,LLM,Correccion_fuente(1-5),4.0
juez1,Item-20,LLM,Consistencia_interna(1-5),4.0
juez1,Item-21,LLM,Completitud(1-5),5.0
juez1,Item-21,LLM,Ausencia_ambiguedad(1-5),4.0
juez1,Item-21,LLM,Verificabilidad(1-5),5.0
juez1,Item-21,LLM,Correccion_fuente(1-5),5.0
juez1,Item-21,LLM,Consistencia_interna(1-5),5.0
juez1,Item-22,LLM,Completitud(1-5),4.0
juez1,Item-22,LLM,Ausencia_ambiguedad(1-5),3.0
juez1,Item-22,LLM,Verificabilidad(1-5),2.0
juez1,Item-22,LLM,Correccion_fuente(1-5),4.0
juez1,Item-22,LLM,Consistencia_interna(1-5),4.0
juez1,Item-23,LLM,Completitud(1-5),4.0
juez1,Item-23,LLM,Ausencia_ambiguedad(1-5),5.0
juez1,Item-23,LLM,Verificabilidad(1-5),4.0
juez1,Item-23,LLM,Correccion_fuente(1-5),5.0
juez1,Item-23,LLM,Consistencia_interna(1-5),4.0
juez1,Item-24,Humano,Completitud(1-5),4.0
juez1,Item-24,Humano,Ausencia_ambiguedad(1-5),4.0
juez1,Item-24,Humano,Verificabilidad(1-5),5.0
juez1,Item-24,Humano,Correccion_fuente(1-5),5.0
juez1,Item-24,Humano,Consistencia_interna(1-5),5.0
juez1,Item-25,LLM,Completitud(1-5),5.0
juez1,Item-25,LLM,Ausencia_ambiguedad(1-5),3.0
juez1,Item-25,LLM,Verificabilidad(1-5),4.0
juez1,Item-25,LLM,Correccion_fuente(1-5),5.0
juez1,Item-25,LLM,Consistencia_interna(1-5),4.0
juez1,Item-26,LLM,Completitud(1-5),5.0
juez1,Item-26,LLM,Ausencia_ambiguedad(1-5),4.0
juez1,Item-26,LLM,Verificabilidad(1-5),5.0
juez1,Item-26,LLM,Correccion_fuente(1-5),4.0
juez1,Item-26,LLM,Consistencia_interna(1-5),5.0
juez1,Item-27,Humano,Completitud(1-5),3.0
juez1,Item-27,Humano,Ausencia_ambiguedad(1-5),2.0
juez1,Item-27,Humano,Verificabilidad(1-5),3.0
juez1,Item-27,Humano,Correccion_fuente(1-5),4.0
juez1,Item-27,Humano,Consistencia_interna(1-5),3.0
juez1,Item-28,LLM,Completitud(1-5),3.0
juez1,Item-28,LLM,Ausencia_ambiguedad(1-5),3.0
juez1,Item-28,LLM,Verificabilidad(1-5),4.0
juez1,Item-28,LLM,Correccion_fuente(1-5),5.0
juez1,Item-28,LLM,Consistencia_interna(1-5),5.0
juez1,Item-29,Humano,Completitud(1-5),5.0
juez1,Item-29,Humano,Ausencia_ambiguedad(1-5),3.0
juez1,Item-29,Humano,Verificabilidad(1-5),4.0
juez1,Item-29,Humano,Correccion_fuente(1-5),4.0
juez1,Item-29,Humano,Consistencia_interna(1-5),4.0
juez1,Item-30,LLM,Completitud(1-5),5.0
juez1,Item-30,LLM,Ausencia_ambiguedad(1-5),5.0
juez1,Item-30,LLM,Verificabilidad(1-5),4.0
juez1,Item-30,LLM,Correccion_fuente(1-5),5.0
juez1,Item-30,LLM,Consistencia_interna(1-5),4.0
juez1,Item-31,LLM,Completitud(1-5),5.0
juez1,Item-31,LLM,Ausencia_ambiguedad(1-5),5.0
juez1,Item-31,LLM,Verificabilidad(1-5),5.0
juez1,Item-31,LLM,Correccion_fuente(1-5),5.0
juez1,Item-31,LLM,Consistencia_interna(1-5),5.0
juez1,Item-32,LLM,Completitud(1-5),5.0
juez1,Item-32,LLM,Ausencia_ambiguedad(1-5),3.0
juez1,Item-32,LLM,Verificabilidad(1-5),4.0
juez1,Item-32,LLM,Correccion_fuente(1-5),5.0
juez1,Item-32,LLM,Consistencia_interna(1-5),5.0
juez1,Item-33,Humano,Completitud(1-5),3.0
juez1,Item-33,Humano,Ausencia_ambiguedad(1-5),4.0
juez1,Item-33,Humano,Verificabilidad(1-5),4.0
juez1,Item-33,Humano,Correccion_fuente(1-5),5.0
juez1,Item-33,Humano,Consistencia_interna(1-5),5.0
juez1,Item-34,Humano,Completitud(1-5),3.0
juez1,Item-34,Humano,Ausencia_ambiguedad(1-5),2.0
juez1,Item-34,Humano,Verificabilidad(1-5),3.0
juez1,Item-34,Humano,Correccion_fuente(1-5),4.0
juez1,Item-34,Humano,Consistencia_interna(1-5),3.0
juez1,Item-35,Humano,Completitud(1-5),4.0
juez1,Item-35,Humano,Ausencia_ambiguedad(1-5),4.0
juez1,Item-35,Humano,Verificabilidad(1-5),3.0
juez1,Item-35,Humano,Correccion_fuente(1-5),5.0
juez1,Item-35,Humano,Consistencia_interna(1-5),5.0
juez1,Item-36,Humano,Completitud(1-5),5.0
juez1,Item-36,Humano,Ausencia_ambiguedad(1-5),4.0
juez1,Item-36,Humano,Verificabilidad(1-5),3.0
juez1,Item-36,Humano,Correccion_fuente(1-5),5.0
juez1,Item-36,Humano,Consistencia_interna(1-5),5.0
juez1,Item-37,LLM,Completitud(1-5),3.0
juez1,Item-37,LLM,Ausencia_ambiguedad(1-5),4.0
juez1,Item-37,LLM,Verificabilidad(1-5),3.0
juez1,Item-37,LLM,Correccion_fuente(1-5),5.0
juez1,Item-37,LLM,Consistencia_interna(1-5),5.0
juez1,Item-38,Humano,Completitud(1-5),4.0
juez1,Item-38,Humano,Ausencia_ambiguedad(1-5),3.0
juez1,Item-38,Humano,Verificabilidad(1-5),2.0
juez1,Item-38,Humano,Correccion_fuente(1-5),4.0
juez1,Item-38,Humano,Consistencia_interna(1-5),4.0
juez1,Item-39,Humano,Completitud(1-5),5.0
juez1,Item-39,Humano,Ausencia_ambiguedad(1-5),4.0
juez1,Item-39,Humano,Verificabilidad(1-5),5.0
juez1,Item-39,Humano,Correccion_fuente(1-5),5.0
juez1,Item-39,Humano,Consistencia_interna(1-5),4.0
juez1,Item-40,LLM,Completitud(1-5),3.0
juez1,Item-40,LLM,Ausencia_ambiguedad(1-5),4.0
juez1,Item-40,LLM,Verificabilidad(1-5),4.0
juez1,Item-40,LLM,Correccion_fuente(1-5),4.0
juez1,Item-40,LLM,Consistencia_interna(1-5),4.0
juez1,Item-41,LLM,Completitud(1-5),5.0
juez1,Item-41,LLM,Ausencia_ambiguedad(1-5),5.0
juez1,Item-41,LLM,Verificabilidad(1-5),5.0
