archivo,columna,tipo,unidad,rango_admisible,codificacion_faltantes,procedencia
datos_crudos/juez1.csv,Item_ciego,texto,n/a,Item-01 a Item-51,no se admiten,Identificador ciego asignado al armar el paquete de evaluacion
datos_crudos/juez1.csv,Completitud(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez1.csv,Ausencia_ambiguedad(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez1.csv,Verificabilidad(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez1.csv,Correccion_fuente(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez1.csv,Consistencia_interna(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez2.csv,Item_ciego,texto,n/a,Item-01 a Item-51,no se admiten,Identificador ciego asignado al armar el paquete de evaluacion
datos_crudos/juez2.csv,Completitud(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez2.csv,Ausencia_ambiguedad(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez2.csv,Verificabilidad(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez2.csv,Correccion_fuente(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez2.csv,Consistencia_interna(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez3.csv,Item_ciego,texto,n/a,Item-01 a Item-51,no se admiten,Identificador ciego asignado al armar el paquete de evaluacion
datos_crudos/juez3.csv,Completitud(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez3.csv,Ausencia_ambiguedad(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
