Clave de incidencia,Resumen,Tipo de Incidencia,Estado,Etiquetas,Creada,Descripción
SIGA-1,RF-01 Monitorear el estado ambiental del aula,Item,Por hacer,RF,05/sep/26 3:18 PM,"Objetivo: Monitorear el estado ambiental del aula
Stakeholder: Personal de Infraestructura y Mantenimiento
Evidencia de origen: EV-01, EV-04, EV-09, EV-18
Historia de usuario: HU-01, HU-02, HU-03, HU-04, HU-05, HU-06, HU-07
Criterio de aceptacion: CA-01, CA-02, CA-03, CA-04, CA-05, CA-06, CA-07
Caso de prueba: CP-RF-01, CP-RF-02, CP-RF-03, CP-RF-04, CP-RF-05, CP-RF-06, CP-RF-07, CP-RF-08
Marco legal: LOPDP Art. 26; Art. 4, No aplica No aplica
Estado de traza: Completa
Filas de la matriz: 4"
SIGA-2,RF-02 Controlar remotamente los dispositivos del aula,Item,Por hacer,RF,05/sep/26 3:18 PM,"Objetivo: Controlar remotamente los dispositivos del aula
Stakeholder: Personal de Infraestructura y Mantenimiento
Evidencia de origen: EV-01, EV-04
Historia de usuario: HU-01, HU-02, HU-03, HU-04, HU-05, HU-06, HU-07
Criterio de aceptacion: CA-01, CA-02, CA-03, CA-04, CA-05, CA-06, CA-07
Caso de prueba: CP-RF-01, CP-RF-02, CP-RF-03, CP-RF-04, CP-RF-05, CP-RF-07, CP-RF-08
Marco legal: LOPDP Art. 26; Art. 4, No aplica No aplica
Estado de traza: Completa
Filas de la matriz: 2"
SIGA-3,RF-03 Detectar automaticamente la ocupacion del aula,Item,Por hacer,RF,05/sep/26 3:18 PM,"Objetivo: Detectar automaticamente la ocupacion del aula
Stakeholder: Personal de Infraestructura y Mantenimiento
Evidencia de origen: EV-01, EV-04, EV-09
Historia de usuario: HU-01, HU-02, HU-03, HU-04, HU-05, HU-06, HU-07
Criterio de aceptacion: CA-01, CA-02, CA-03, CA-04, CA-05, CA-06, CA-07
Caso de prueba: CP-RF-01, CP-RF-02, CP-RF-03, CP-RF-04, CP-RF-05, CP-RF-07, CP-RF-08
Marco legal: LOPDP Art. 26; Art. 4
Estado de traza: Completa
Filas de la matriz: 3"
SIGA-4,RF-04 Controlar remotamente los proyectores,Item,Por hacer,RF,05/sep/26 3:18 PM,"Objetivo: Controlar remotamente los proyectores
Stakeholder: Personal de Infraestructura y Mantenimiento;Docente;Estudiantes
Evidencia de origen: EV-01, EV-02, EV-03, EV-04, EV-12, EV-17, EV-18, EV-19
Historia de usuario: HU-01, HU-02, HU-03, HU-04, HU-05, HU-06, HU-07, HU-09, HU-10, HU-11, HU-13, HU-16
Criterio de aceptacion: CA-01, CA-02, CA-03, CA-04, CA-05, CA-06, CA-07, CA-09, CA-10, CA-11, CA-13, CA-16
Caso de prueba: CP-RF-01, CP-RF-02, CP-RF-03, CP-RF-04, CP-RF-05, CP-RF-06, CP-RF-07, CP-RF-08, CP-RF-11, CP-RF-12, CP-RF-13, CP-RF-14, CP-RF-16, CP-RF-22
Marco legal: LOPDP Art. 26; Art. 4, No aplica No aplica
Estado de traza: Completa
Filas de la matriz: 6"
SIGA-5,RF-05 Ajustar remotamente la climatizacion,Item,Por hacer,RF,05/sep/26 3:18 PM,"Objetivo: Ajustar remotamente la climatizacion
Stakeholder: Personal de Infraestructura y Mantenimiento;Estudiantes
Evidencia de origen: EV-01, EV-03, EV-04, EV-12, EV-17, EV-18, EV-19
Historia de usuario: HU-01, HU-02, HU-03, HU-04, HU-05, HU-06, HU-07, HU-09, HU-10, HU-11, HU-13, HU-16
Criterio de aceptacion: CA-01, CA-02, CA-03, CA-04, CA-05, CA-06, CA-07, CA-09, CA-10, CA-11, CA-13, CA-16
Caso de prueba: CP-RF-01, CP-RF-02, CP-RF-03, CP-RF-04, CP-RF-05, CP-RF-06, CP-RF-07, CP-RF-08, CP-RF-11, CP-RF-12, CP-RF-13, CP-RF-14, CP-RF-16, CP-RF-22
Marco legal: LOPDP Art. 26; Art. 4, No aplica No aplica
Estado de traza: Completa
Filas de la matriz: 6"
SIGA-6,RF-06 Integrar el sistema con la videovigilancia existente,Item,Por hacer,RF,05/sep/26 3:18 PM,"Objetivo: Integrar el sistema con la videovigilancia existente
Stakeholder: Personal de Infraestructura y Mantenimiento
Evidencia de origen: EV-01, EV-07, EV-08, EV-18
Historia de usuario: HU-01, HU-04, HU-05, HU-06, HU-16
Criterio de aceptacion: CA-01, CA-04, CA-05, CA-06, CA-16
Caso de prueba: CP-RF-01, CP-RF-04, CP-RF-05, CP-RF-06, CP-RF-07, CP-RF-22
Marco legal: LOPDP Art. 26; Art. 4
Estado de traza: Parcial - sin historia, criterio
Filas de la matriz: 4"
SIGA-7,RF-07 Consultar un panel de control centralizado,Item,Por hacer,RF,05/sep/26 3:18 PM,"Objetivo: Consultar un panel de control centralizado
Stakeholder: Personal de Infraestructura y Mantenimiento;Docente;Estudiantes
Evidencia de origen: EV-01, EV-02, EV-03, EV-04, EV-07, EV-08, EV-09, EV-10, EV-12, EV-16, EV-17, EV-19
Historia de usuario: HU-01, HU-02, HU-03, HU-04, HU-05, HU-06, HU-07, HU-09, HU-10, HU-11, HU-13, HU-16
Criterio de aceptacion: CA-01, CA-02, CA-03, CA-04, CA-05, CA-06, CA-07, CA-09, CA-10, CA-11, CA-13, CA-16
Caso de prueba: CP-RF-01, CP-RF-02, CP-RF-03, CP-RF-04, CP-RF-05, CP-RF-06, CP-RF-07, CP-RF-08, CP-RF-11, CP-RF-12, CP-RF-13, CP-RF-14, CP-RF-16, CP-RF-22
Marco legal: LOPDP Art. 26; Art. 4, No aplica No aplica
Estado de traza: Completa
Filas de la matriz: 10"
SIGA-8,RF-08 Generar y enviar alertas por anomalias,Item,Por hacer,RF,05/sep/26 3:18 PM,"Objetivo: Generar y enviar alertas por anomalias
Stakeholder: Personal de Infraestructura y Mantenimiento;Estudiantes
Evidencia de origen: EV-01, EV-03, EV-04, EV-06, EV-12, EV-17, EV-19
Historia de usuario: HU-01, HU-02, HU-03, HU-04, HU-05, HU-06, HU-07, HU-08, HU-09, HU-10, HU-11, HU-13, HU-16
Criterio de aceptacion: CA-01, CA-02, CA-03, CA-04, CA-05, CA-06, CA-07, CA-08, CA-09, CA-10, CA-11, CA-13, CA-16
Caso de prueba: CP-RF-01, CP-RF-02, CP-RF-03, CP-RF-04, CP-RF-05, CP-RF-07, CP-RF-08, CP-RF-10, CP-RF-11, CP-RF-12, CP-RF-13, CP-RF-14, CP-RF-16, CP-RF-17, CP-RF-22
Marco legal: LOPDP Art. 26; Art. 4, No aplica No aplica
Estado de traza: Completa
Filas de la matriz: 6"
SIGA-9,RF-09 Predecir fallos de equipos mediante IA,Item,Por hacer,RF,05/sep/26 3:18 PM,"Objetivo: Predecir fallos de equipos mediante IA
Stakeholder: Docente
Evidencia de origen: EV-02
Caso de prueba: CP-RF-09
Marco legal: No aplica No aplica
Estado de traza: Parcial - sin historia, criterio
Filas de la matriz: 1"
SIGA-10,RF-10 Registrar el historial de fallas y mantenimientos,Item,Por hacer,RF,05/sep/26 3:18 PM,"Objetivo: Registrar el historial de fallas y mantenimientos
Stakeholder: Personal de Infraestructura y Mantenimiento
Evidencia de origen: EV-01, EV-06, EV-13
Historia de usuario: HU-07, HU-08, HU-09, HU-10, HU-14
Criterio de aceptacion: CA-07, CA-08, CA-09, CA-10, CA-14
Caso de prueba: CP-RF-08, CP-RF-10, CP-RF-11, CP-RF-12, CP-RF-17, CP-RF-19
Marco legal: LOPDP Art. 7, No aplica No aplica
Estado de traza: Completa
Filas de la matriz: 3"
