ID,Ley,Articulo,Objetivo,Stakeholder,ID-EV,ID-RF,Tipo,ID-CU,ID-HU,ID-CA,Clase,Proceso,Nombre-Proceso,ID-CasoPrueba,ID-Componente,ID-Mockup,Estado-Traza
1,No aplica,No aplica,Monitorear el estado ambiental del aula,Personal de Infraestructura y Mantenimiento,EV-01,RF-01,RF,CU-01;CU-03,HU-01,CA-01,SensorIoT;LecturaSensor,P1,Adquirir y normalizar telemetria,CP-RF-01,SensorIoT;LecturaSensor,MU-01,Completa
2,No aplica,No aplica,Controlar remotamente los dispositivos del aula,Personal de Infraestructura y Mantenimiento,EV-01,RF-02,RF,CU-02,HU-02,CA-02,GatewayIoT;Equipo,P2,Controlar equipamiento del aula,CP-RF-02,GatewayIoT;Equipo,MU-01,Completa
3,LOPDP,Art. 26; Art. 4,Detectar automaticamente la ocupacion del aula,Personal de Infraestructura y Mantenimiento,EV-01,RF-03,RF,CU-03,HU-03,CA-03,SensorIoT;Aula,P1,Adquirir y normalizar telemetria,CP-RF-03,SensorIoT;Aula,MU-01,Completa
4,No aplica,No aplica,Controlar remotamente los proyectores,Personal de Infraestructura y Mantenimiento;Docente;Estudiantes,EV-01;EV-02;EV-03,RF-04,RF,CU-01;CU-02,HU-04,CA-04,Proyector,P2,Controlar equipamiento del aula,CP-RF-04,Proyector,MU-01,Completa
5,No aplica,No aplica,Ajustar remotamente la climatizacion,Personal de Infraestructura y Mantenimiento;Estudiantes,EV-01;EV-03,RF-05,RF,CU-01;CU-02,HU-05,CA-05,Climatizador,P2,Controlar equipamiento del aula,CP-RF-05,Climatizador,MU-01,Completa
6,LOPDP,Art. 26; Art. 4,Integrar el sistema con la videovigilancia existente,Personal de Infraestructura y Mantenimiento,EV-01,RF-06,RF,CU-15,Sin historia de usuario,Sin criterio de aceptacion,CamaraVigilancia,P6,Presentar panel de control y video,CP-RF-06,CamaraVigilancia,Sin prototipo asociado,Parcial - sin historia
7,No aplica,No aplica,Consultar un panel de control centralizado,Personal de Infraestructura y Mantenimiento;Docente;Estudiantes,EV-01;EV-02;EV-03,RF-07,RF,CU-01,HU-06,CA-06,Aula,P6,Presentar panel de control y video,CP-RF-07,Aula,MU-01,Completa
8,No aplica,No aplica,Generar y enviar alertas por anomalias,Personal de Infraestructura y Mantenimiento;Estudiantes,EV-01;EV-03,RF-08,RF,CU-04;CU-05,HU-07,CA-07,Alerta,P3,Detectar anomalias y emitir alertas,CP-RF-08,Alerta,MU-02,Completa
9,No aplica,No aplica,Predecir fallos de equipos mediante IA,Docente,EV-02,RF-09,RF,CU-16,Sin historia de usuario,Sin criterio de aceptacion,Equipo,P4,Predecir fallos de equipo,CP-RF-09,Equipo,Sin prototipo asociado,Parcial - sin historia
10,No aplica,No aplica,Registrar el historial de fallas y mantenimientos,Personal de Infraestructura y Mantenimiento,EV-01,RF-10,RF,CU-08,HU-08,CA-08,SolicitudMantenimiento,P5,Gestionar solicitudes y tickets,CP-RF-10,SolicitudMantenimiento,MU-03,Completa
11,No aplica,No aplica,Notificar de forma inmediata las fallas criticas,Docente;Estudiantes,EV-02;EV-03,RF-11,RF,CU-04;CU-05,HU-09,CA-09,Alerta,P3,Detectar anomalias y emitir alertas,CP-RF-11,Alerta,MU-02,Completa
12,No aplica,No aplica,Gestionar las solicitudes de mantenimiento,Personal de Infraestructura y Mantenimiento;Docente;Estudiantes,EV-01;EV-02;EV-03,RF-12,RF,CU-06;CU-07,HU-10;HU-21,CA-10;CA-21,SolicitudMantenimiento,P5,Gestionar solicitudes y tickets,CP-RF-12,SolicitudMantenimiento,MU-03,Completa
13,No aplica,No aplica,Controlar automaticamente el apagado energetico,Personal de Infraestructura y Mantenimiento,EV-01,RF-13,RF,CU-13,HU-11,CA-11,Equipo,P2,Controlar equipamiento del aula,CP-RF-13,Equipo,Sin prototipo asociado,Completa
14,No aplica,No aplica,Analizar patrones de consumo energetico,Docente,EV-02,RF-14,RF,CU-16,Sin historia de usuario,Sin criterio de aceptacion,ConsumoEnergetico,P7,Generar y exportar reportes,CP-RF-14,ConsumoEnergetico,Sin prototipo asociado,Parcial - sin historia
15,No aplica,No aplica,Programar horarios automatizados de encendido/apagado,Personal de Infraestructura y Mantenimiento,EV-01,RF-15,RF,CU-13,HU-12,CA-12,HorarioAcademico,P2,Controlar equipamiento del aula,CP-RF-15,HorarioAcademico,Sin prototipo asociado,Completa
16,No aplica,No aplica,Apagar automaticamente equipos de aulas desocupadas,Personal de Infraestructura y Mantenimiento,EV-01,RF-16,RF,CU-03;CU-13,HU-13,CA-13,Aula;Equipo,P2,Controlar equipamiento del aula,CP-RF-16,Aula;Equipo,Sin prototipo asociado,Completa
17,No aplica,No aplica,Generar reportes estadisticos periodicos,Docente,EV-02,RF-17,RF,CU-09,Sin historia de usuario,Sin criterio de aceptacion,ReporteAdministrativo,P7,Generar y exportar reportes,CP-RF-17,ReporteAdministrativo,MU-04,Parcial - sin historia
18,No aplica,No aplica,Exportar reportes en PDF y Excel,Docente,EV-02,RF-18,RF,CU-10,Sin historia de usuario,Sin criterio de aceptacion,ReporteAdministrativo,P7,Generar y exportar reportes,CP-RF-18,ReporteAdministrativo,MU-04,Parcial - sin historia
19,LOPDP,Art. 7,Gestionar acceso diferenciado por roles,Docente,EV-02,RF-19,RF,CU-11,HU-14,CA-14,Usuario;Rol,P8,Controlar acceso y registrar bitacora,CP-RF-19,Usuario;Rol,Sin prototipo asociado,Completa
20,No aplica,No aplica,Registrar el historial de ocupacion de aulas,Docente,EV-02,RF-20,RF,CU-01;CU-08,HU-18,CA-18,Aula;LecturaSensor,P7,Generar y exportar reportes,CP-RF-20,Aula;LecturaSensor,Sin prototipo asociado,Completa
21,No aplica,No aplica,Notificar equipos encendidos fuera de horario,Personal de Infraestructura y Mantenimiento,EV-01,RF-21,RF,CU-04;CU-13,HU-15,CA-15,Alerta;Equipo,P3,Detectar anomalias y emitir alertas,CP-RF-21,Alerta;Equipo,Sin prototipo asociado,Completa
22,No aplica,No aplica,Monitorear la conectividad de la red IoT,Personal de Infraestructura y Mantenimiento,EV-01,RF-22,RF,CU-12,HU-16,CA-16,GatewayIoT,P1,Adquirir y normalizar telemetria,CP-RF-22,GatewayIoT,Sin prototipo asociado,Completa
23,LOPDP,Art. 10 lit. k; Art. 47 num. 2,Registrar bitacora de acciones de usuario,Personal de Infraestructura y Mantenimiento;Docente,EV-01;EV-02,RF-23,RF,CU-14,HU-17,CA-17,BitacoraAccion,P8,Controlar acceso y registrar bitacora,CP-RF-23,BitacoraAccion,Sin prototipo asociado,Completa
24,LOPDP,Art. 13,Exportar los datos personales del usuario a solicitud,Docente;Coordinacion,Sin evidencia de campo,RF-24,RF,CU-11,HU-19,CA-19,Usuario,P8,Controlar acceso y registrar bitacora,CP-RF-24,Usuario,Sin prototipo asociado,Huerfana - sin fuente
25,LOPDP,Art. 14,Rectificar los datos personales del usuario,Docente;Coordinacion,Sin evidencia de campo,RF-25,RF,CU-11,HU-20,CA-20,Usuario,P8,Controlar acceso y registrar bitacora,CP-RF-25,Usuario,Sin prototipo asociado,Huerfana - sin fuente
26,No aplica,No aplica,"Validacion complementaria mediante cuestionario ampliado (formulario v2.0, 31 respuestas)",Estudiantes,EV-17,RF-04;RF-05;RF-07;RF-08;RF-11;RF-12;RF-22,RF,CU-01;CU-02;CU-04;CU-05;CU-06;CU-07;CU-12,HU-04;HU-05;HU-06;HU-07;HU-09;HU-10;HU-16,CA-04;CA-05;CA-06;CA-07;CA-09;CA-10;CA-16,Sin clase asociada,P1;P2;P3;P5;P6,Adquirir y normalizar telemetria;Controlar equipamiento del aula;Detectar anomalias y emitir alertas;Gestionar solicitudes y tickets;Presentar panel de control y video,CP-RF-04;CP-RF-05;CP-RF-07;CP-RF-08;CP-RF-11;CP-RF-12;CP-RF-22,Sin componente asociado,Sin prototipo asociado,Parcial - sin clase
27,LOPDP,Art. 26; Art. 4,Evidencia fotografica del trabajo de campo,Personal de Infraestructura y Mantenimiento;Docente,EV-04,RF-01;RF-02;RF-03;RF-04;RF-05;RF-07;RF-08,RF,CU-01;CU-02;CU-03;CU-04,HU-01;HU-02;HU-03;HU-04;HU-05;HU-06;HU-07,CA-01;CA-02;CA-03;CA-04;CA-05;CA-06;CA-07,Sin clase asociada,P1;P2;P3;P6,Adquirir y normalizar telemetria;Controlar equipamiento del aula;Detectar anomalias y emitir alertas;Presentar panel de control y video,CP-RF-01;CP-RF-02;CP-RF-03;CP-RF-04;CP-RF-05;CP-RF-07;CP-RF-08,Sin componente asociado,Sin prototipo asociado,Parcial - sin clase
28,No aplica,No aplica,Dependencia del horario academico vigente,Coordinacion,EV-05,RF-13;RF-15;RF-16;RF-20;RF-21;RD-13,RD,CU-03;CU-09;CU-13,HU-11;HU-12;HU-13;HU-15;HU-18,CA-11;CA-12;CA-13;CA-15;CA-18,HorarioAcademico,P2;P3;P7,Controlar equipamiento del aula;Detectar anomalias y emitir alertas;Generar y exportar reportes,CP-RF-13;CP-RF-15;CP-RF-16;CP-RF-20;CP-RF-21,HorarioAcademico,Sin prototipo asociado,Restriccion de diseno
