ID,Tipo,Severidad,Requisito_afectado,Descripcion,Origen,Accion_correctiva,Responsable,Estado,Fecha_cierre,Verificado_en
DEF-01,Inconsistencia,Critico,RF-13;RF-16,Ambos apagan equipos de un aula desocupada fuera de horario con umbral menor o igual a 2 min. Solapamiento funcional sin criterio de precedencia,Auditoria de consistencia 2026-08-29,"Delimitados por causa: RF-13 por consumo sostenido sin actividad, RF-16 por fin de la ultima franja asignada. Regla de precedencia a favor de RF-16 y registro en bitacora de la regla que ordeno el apagado. HU-11 y HU-13 alineadas",Munoz Quinonez Yeranick Esther,Cerrado,2026-08-30,6603e61
DEF-02,Trazabilidad,Critico,Matriz completa,Faltan las cuatro columnas exigidas por la guia: clase proceso caso de prueba y estado de la traza,Auditoria de trazabilidad 2026-08-29,"Anadidas las cuatro columnas a matriz_trazabilidad.csv: Clase, Proceso, ID-CasoPrueba y Estado-Traza. La matriz pasa de 13 a 18 columnas sobre 66 filas",Munoz Quinonez Yeranick Esther,Cerrado,2026-08-31,1e68dda
DEF-03,Verificabilidad,Mayor,RF-14,El criterio de aceptacion exige recomendaciones coherentes sin metrica ni umbral. Dos evaluadores independientes no llegarian al mismo veredicto,Auditoria de verificabilidad 2026-08-29,"Criterio reescrito con umbral de diferencia de perfil, al menos un parametro accionable distinto y acuerdo del 100 % entre dos evaluadores sobre la procedencia de cada parametro",Munoz Quinonez Yeranick Esther,Cerrado,2026-08-30,5851996
DEF-04,Modificabilidad,Mayor,Todos los RF,El atributo Entradas/Salidas declara solo dos dependencias en todo el documento. El analisis manual arroja 5.00 de media. Las dependencias existen y no estan escritas,Auditoria de modificabilidad 2026-08-29,"Declaradas en las 25 fichas las dependencias de datos: de que requisitos depende cada uno y a cuales alimenta. Grafo de 49 dependencias, escrito en un sentido y derivado el inverso. La medida automatica y la manual coinciden ya en 3,92",Sanchez Cornejo Gary Alberto,Cerrado,2026-08-31,pendiente de commit
DEF-05,Trazabilidad,Mayor,RF-01;RF-02;RF-03;RF-06;RF-09;RF-13;RF-14;RF-15;RF-18;RF-20;RF-21;RF-22;RF-23,Trece requisitos sin cadena adelante completa. 310 celdas vacias en la matriz,Auditoria de trazabilidad 2026-08-29,Cadena adelante completada en los trece requisitos. La matriz queda sin ninguna celda vacia,Munoz Quinonez Yeranick Esther,Cerrado,2026-08-31,1e68dda
DEF-06,Omision,Mayor,RF-06,No especifica la apertura individual de la camara de un aula. El diseno asume el mosaico completo contra el uso real del puesto de conserjeria,Sesion de validacion WT-07 2026-07-22,SC-03 quedo DIFERIDA en CCB-01 a la verificacion de si la interfaz Dahua expone el flujo de una camara individual. RF-06 no se modifica hasta entonces. Es el residual declarado de la entrega,,Abierto,,
DEF-07,Omision,Mayor,RF-12,No contempla plazo de respuesta comprometido por prioridad ni estados intermedios visibles del ticket,Sesion de validacion WT-03 2026-07-21,"RF-12 fija plazo maximo de primera respuesta por prioridad, parametrizable, con escalado al vencerlo, y enumera los estados intermedios visibles con causa. Aplicado segun SC-02, aprobada con modificaciones en CCB-01",Sanchez Cornejo Gary Alberto,Cerrado,2026-08-31,pendiente de commit
DEF-08,Identificacion,Mayor,Todos los no funcionales,Los identificadores aparecen como RNF- en la prosa y como NFR- en las tablas. Rompe la resolucion automatica de identificadores,Auditoria documental 2026-08-29,"Unificado en RNF- en el ERS, la auditoria, las fichas de IA, la codificacion tematica y el banco de preguntas. 49 sustituciones en siete archivos",Munoz Quinonez Yeranick Esther,Cerrado,2026-08-30,6603e61
DEF-09,Modelado,Mayor,Seccion 5.3 de la guia,No existen los diagramas de flujo de datos de nivel 0 y nivel 1. La carpeta 03_Modelado/09_DFD esta vacia,Inventario contra la seccion 5.3,Nivel 0 y nivel 1 dibujados en draw.io. Pendiente de exportar png y svg desde draw.io y depositar los tres formatos en 03_Modelado/09_DFD/,,Cerrado,2026-09-05,"03_Modelado/09_DFD/ contiene dfd_nivel_0 y dfd_nivel_1 en .drawio, .png y .svg"
DEF-10,Trazabilidad,Menor,2 requisitos sin fuente,Dos requisitos no tienen evidencia de campo identificada como origen,Auditoria de trazabilidad 2026-08-29,Los dos requisitos enlazan ya con su evidencia; los casos sin fuente quedan declarados con causa en huerfanos_y_cadenas_rotas.md,Munoz Quinonez Yeranick Esther,Cerrado,2026-08-31,1e68dda;5804479
DEF-11,Completitud,Menor,RF-01,El recuento automatico marca la ficha como incompleta por el atributo de descripcion,Auditoria de completitud 2026-08-29,NO ERA UN DEFECTO. La ficha de RF-01 tiene sus ocho atributos completos; el recuento fallaba por el marcado de color de su fila de encabezado. Completitud corregida a 25/25,Munoz Quinonez Yeranick Esther,Cerrado,2026-08-30,d87bc43
DEF-12,Documentacion,Menor,Documento completo,El ERS se autodenomina Entrega 3 (2A) en la caratula y en las conclusiones cuando la entrega es la 2B,Auditoria documental 2026-08-29,"Corregidas las cuatro autorreferencias a la entrega equivocada en secciones_generadas.tex: proposito, restriccion RD-15, conclusiones y estructura del repositorio. Las filas del historial de versiones conservan la mencion a 2A por ser historicas",Sanchez Cornejo Gary Alberto,Cerrado,2026-08-31,pendiente de commit
DEF-13,Omision,Menor,RF-11,La notificacion se dirige al rol de mando y no al ejecutante que realiza la reparacion,Sesion de validacion WT-07 2026-07-22,RF-11 dirige la notificacion al tecnico asignado a la reparacion; el rol de mando queda como copia informativa,Sanchez Cornejo Gary Alberto,Cerrado,2026-08-31,pendiente de commit
DEF-14,Trazabilidad,Critico,Matriz completa,Ocho identificadores de historia declarados en la matriz no existen en el ERS: HU-24 HU-25 HU-07b HU-07e HU-10b HU-12b HU-12c HU-12d. Y ningun CA- resolvia: el ERS no contenia una sola mencion de criterios etiquetados,Completado de la matriz 2026-08-31,Historias realineadas contra el ERS; los 17 escenarios Gherkin etiquetados como CA-01 a CA-17,Munoz Quinonez Yeranick Esther,Cerrado,2026-08-31,1e68dda;28ab805
DEF-15,Completitud,Mayor,RF-20;RF-24;RF-25,"Tres requisitos sin historia de usuario ni criterio de aceptacion, dos de ellos obligaciones legales bajo los articulos 13 y 14 de la LOPDP",Completado de la matriz 2026-08-31,"Redactadas HU-18, HU-19 y HU-20 con sus criterios CA-18, CA-19 y CA-20",Sanchez Cornejo Gary Alberto,Cerrado,2026-08-31,28ab805
DEF-16,Inconsistencia,Mayor,RF-20;RF-24;RF-25,La ficha del ERS los prioriza como Should y priorizacion_moscow_kano.csv como Must. Las dos fuentes no pueden tener razon a la vez,Completado de la matriz 2026-08-31,"RF-24 y RF-25 pasan a Must en el ERS y RF-20 a Should en la tabla de priorizacion. Aplicado segun SC-04, aprobada en CCB-01. Las 25 fichas coinciden ya con la tabla",Sanchez Cornejo Gary Alberto,Cerrado,2026-08-31,pendiente de commit
