evaluador,requisito,orden_presentacion,brazo,criterio,puntuacion
juez1,Item-01,1,Humano,Completitud(1-5),4
juez1,Item-01,1,Humano,Ausencia_ambiguedad(1-5),4
juez1,Item-01,1,Humano,Verificabilidad(1-5),3
juez1,Item-01,1,Humano,Correccion_fuente(1-5),4
juez1,Item-01,1,Humano,Consistencia_interna(1-5),5
juez1,Item-02,2,Humano,Completitud(1-5),5
juez1,Item-02,2,Humano,Ausencia_ambiguedad(1-5),4
juez1,Item-02,2,Humano,Verificabilidad(1-5),4
juez1,Item-02,2,Humano,Correccion_fuente(1-5),5
juez1,Item-02,2,Humano,Consistencia_interna(1-5),4
juez1,Item-03,3,Humano,Completitud(1-5),3
juez1,Item-03,3,Humano,Ausencia_ambiguedad(1-5),2
juez1,Item-03,3,Humano,Verificabilidad(1-5),3
juez1,Item-03,3,Humano,Correccion_fuente(1-5),4
juez1,Item-03,3,Humano,Consistencia_interna(1-5),3
juez1,Item-04,4,LLM,Completitud(1-5),4
juez1,Item-04,4,LLM,Ausencia_ambiguedad(1-5),4
juez1,Item-04,4,LLM,Verificabilidad(1-5),4
juez1,Item-04,4,LLM,Correccion_fuente(1-5),4
juez1,Item-04,4,LLM,Consistencia_interna(1-5),5
juez1,Item-05,5,LLM,Completitud(1-5),4
juez1,Item-05,5,LLM,Ausencia_ambiguedad(1-5),3
juez1,Item-05,5,LLM,Verificabilidad(1-5),2
juez1,Item-05,5,LLM,Correccion_fuente(1-5),4
juez1,Item-05,5,LLM,Consistencia_interna(1-5),4
juez1,Item-06,6,Humano,Completitud(1-5),3
juez1,Item-06,6,Humano,Ausencia_ambiguedad(1-5),4
juez1,Item-06,6,Humano,Verificabilidad(1-5),5
juez1,Item-06,6,Humano,Correccion_fuente(1-5),5
juez1,Item-06,6,Humano,Consistencia_interna(1-5),4
juez1,Item-07,7,Humano,Completitud(1-5),5
juez1,Item-07,7,Humano,Ausencia_ambiguedad(1-5),5
juez1,Item-07,7,Humano,Verificabilidad(1-5),5
juez1,Item-07,7,Humano,Correccion_fuente(1-5),5
juez1,Item-07,7,Humano,Consistencia_interna(1-5),5
juez1,Item-08,8,Humano,Completitud(1-5),5
juez1,Item-08,8,Humano,Ausencia_ambiguedad(1-5),3
juez1,Item-08,8,Humano,Verificabilidad(1-5),3
juez1,Item-08,8,Humano,Correccion_fuente(1-5),4
juez1,Item-08,8,Humano,Consistencia_interna(1-5),5
juez1,Item-09,9,Humano,Completitud(1-5),5
juez1,Item-09,9,Humano,Ausencia_ambiguedad(1-5),4
juez1,Item-09,9,Humano,Verificabilidad(1-5),3
juez1,Item-09,9,Humano,Correccion_fuente(1-5),4
juez1,Item-09,9,Humano,Consistencia_interna(1-5),5
juez1,Item-10,10,LLM,Completitud(1-5),4
juez1,Item-10,10,LLM,Ausencia_ambiguedad(1-5),4
juez1,Item-10,10,LLM,Verificabilidad(1-5),4
juez1,Item-10,10,LLM,Correccion_fuente(1-5),5
juez1,Item-10,10,LLM,Consistencia_interna(1-5),4
juez1,Item-11,11,Humano,Completitud(1-5),4
juez1,Item-11,11,Humano,Ausencia_ambiguedad(1-5),4
