n,ID_evidencia,Fragmento,codigo_ymunozq,codigo_wcedenoa2,misma_categoria
4,EV-20,"Bueno, eh lo que sí eh siempre estoy pendiente es que la conexión de internet sea óptima, porque hoy en día, bueno, sabemos la realidad de acuerdo a la innovación educativa, usamos mucho la conexión al internet para poder eh de una u otra manera eh impartir nuestras clases usando diferentes herramie",NUEVO:Verificacion_previa_conectividad_internet,NUEVO:Verificacion_previa_conectividad_tecnologica,No
5,EV-20,"Entonces, la conexión internet siempre estoy pendiente de que sea óptima. Eh, bueno, en nuestra facultad, como les decía, eh como es un eh tenemos una infraestructura nueva, eh en ocasiones, parece ser cuando hay en horarios que hay mucha actividad en la conexión es que un poco se cae.",NUEVO:Saturacion_red_por_uso_concurrente,NUEVO:Saturacion_red_por_concurrencia,No
6,EV-20,"Exacto., Pero de ahí regularmente está óptima la conexión. Si vuelvo y repito, depende las actividades que los profesores programen. Entonces, si hay varias personas conectadas, ahí es que un poco hay una saturación.",NUEVO:Saturacion_red_por_uso_concurrente,NUEVO:Saturacion_red_por_concurrencia,No
10,EV-20,"Bueno, le comento que al menos en nuestra facultad sí ha habido respuesta positiva debido a que luego se generó un nuevo ingreso, como decir, al a al a la red. Hace un tiempo atrás eh teníamos una red donde todos tanto alumnos y maestros ingresaban hoy en día se independizó. Parece que hay como otro",NUEVO:Saturacion_red_por_uso_concurrente,Priorizacion_percibida_gestion_mantenimiento,No
12,EV-20,"A ver, relacionado equipos, gestiones de mantenimientos, eh, sí, ya. Bueno, lo que sí veo es que en ocasiones eh veo que hay deficiencia, bueno, el agua parece ser que eh en los baños eh a veces eh no sé si la bomba es muy eh muy muy deficiente para abastecer o no sé si debería haber un estanque ele",NUEVO:Problema_infraestructura_no_relacionado_al_sistema,NUEVO:Problema_infraestructura_basica_fuera_alcance,No
13,EV-20,"preocupación inconveniente porque no hay agua a veces en los baños. Pero eso le digo, parece ser que esto en horarios eh cuando los alumnos unos este, ¿cómo es? Eh, tienen un momento de break, unos 10 minutos, entonces parece ser que si se utilizan todos al mismo momento como que se gasta rápido el ",NUEVO:Problema_infraestructura_no_relacionado_al_sistema,NUEVO:Problema_infraestructura_basica_fuera_alcance,No
14,EV-20,"Depende. A ver, depende. Eh, ustedes saben que hoy en día hay un sinnúmero de de herramientas que nos permiten resolver alguna solución ená para poder eh resolver un problema y buscarle solución a lo mismo. Entonces, primero yo soy de las personas que primero intento yo resolverlo antes de buscar a ",NUEVO:Autonomia_resolucion_previa_a_soporte,NUEVO:Disposicion_autoaprendizaje_antes_asistencia,No
17,EV-22,"Que esté en buen funcionamiento. Bueno, como general, como profesor, ¿no? Eh, lo primero que las aulas estén en condiciones. En condiciones hablo de que integramos el la parte tecnológica wifi o el punto de red o los cables para para las proyecciones, ¿no? Como e HDMI que se necesita para el proyect",NUEVO:Verificacion_previa_conectividad_internet,NUEVO:Verificacion_previa_conectividad_tecnologica,No
27,EV-22,¿este puente del control? [PENSANDO] Para mí lo general sería que el esté alto Y el resto de de información pues se comprimiría si si yo si a mí me interesaría.,Simplificacion_historial_ticket_un_solo_estado,NUEVO:Preferencia_priorizacion_visual_alertas_criticas,No
28,EV-22,"qué información que me interesa si es que me interesa dentro de este panel aquí de de tablero de comando, por decirlo así, tablero de comando, ya aquí me sale a 102 alta, pues yo voy directo.",Preferencia_vista_individual_no_grid,NUEVO:Preferencia_priorizacion_visual_alertas_criticas,No
36,EV-24,Ya sea por etiqueta o por como un color código que indique que esa aula de pronto tiene alguna novedad.,NUEVO:Sugerencia_codigo_color_por_estado_aula,NUEVO:Preferencia_priorizacion_visual_alertas_criticas,No
37,EV-24,"O rojo indicando que hay una criticidad muy alta, porque eso sí me parece sería lo ideal como que categorizar por colores, o sea, que es como que más rápido, de mayor acceso, ve rápido el aula cómo está, el estado del aula. Ajá.",NUEVO:Sugerencia_codigo_color_por_estado_aula,NUEVO:Preferencia_priorizacion_visual_alertas_criticas,No
